Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
2967.55,-3061.18,18.4976,µm,Spot,Position,1,96409,
2994.03,-3043.9,49.1578,µm,Spot,Position,1,96411,
1195.91,-2339.92,24.4548,µm,Spot,Position,1,96416,
1196.17,-2318.61,26.6324,µm,Spot,Position,1,96417,
1183.06,-2279.59,53.7716,µm,Spot,Position,1,96418,
761.848,-2247.92,17.6475,µm,Spot,Position,1,96419,
777.921,-2243.15,82.9571,µm,Spot,Position,1,96421,
820.325,-2200.14,2.72609,µm,Spot,Position,1,96422,
815.237,-2244.75,41.2273,µm,Spot,Position,1,96424,
833.732,-2200.13,50.8931,µm,Spot,Position,1,96425,
812.434,-2243.94,74.1125,µm,Spot,Position,1,96426,
1183.98,-2255.74,82.2812,µm,Spot,Position,1,96427,
1071.47,-2011.14,84.7789,µm,Spot,Position,1,96428,
878.946,-1876.08,2.72609,µm,Spot,Position,1,96430,
862.806,-1864.3,2.72609,µm,Spot,Position,1,96431,
815.848,-1852.23,2.72609,µm,Spot,Position,1,96432,
2204.38,-591.771,19.8297,µm,Spot,Position,1,96433,
2231.13,-554.654,42.7047,µm,Spot,Position,1,96434,
1812.77,-437.072,2.72609,µm,Spot,Position,1,96435,
1823.99,-448.26,76.4626,µm,Spot,Position,1,96436,
2068.62,-544.774,31.3393,µm,Spot,Position,1,96437,
2206.22,-20.3974,78.4003,µm,Spot,Position,1,96438,
1711.62,639.378,77.1868,µm,Spot,Position,1,96441,
1756.4,567.208,68.6739,µm,Spot,Position,1,96442,
2009.32,629.209,7.79497,µm,Spot,Position,1,96443,
184.993,734.856,2.72609,µm,Spot,Position,1,96444,
200.393,737.333,2.72609,µm,Spot,Position,1,96445,
246.001,742.566,2.72609,µm,Spot,Position,1,96446,
239.502,710.781,26.0661,µm,Spot,Position,1,96447,
1913.37,763.649,19.4706,µm,Spot,Position,1,96448,
1208.48,1155.38,23.7166,µm,Spot,Position,1,96452,
1235.78,1096.62,57.6536,µm,Spot,Position,1,96453,
1240.24,1124,79.2132,µm,Spot,Position,1,96454,
1381.24,1147.15,48.0895,µm,Spot,Position,1,96455,
1403.75,1171.22,57.1036,µm,Spot,Position,1,96456,
1405.83,1052.67,63.424,µm,Spot,Position,1,96457,
1341.73,1064.36,85.0051,µm,Spot,Position,1,96458,
1392.13,1107.67,85.1565,µm,Spot,Position,1,96459,
